Hauptartikelnr;Artikelname;Hersteller;Beschreibung;Materialangaben;Geschlecht;Produktart;Ärmel;Bein;Kragen;Herstellung;Taschenart;Grammatur;Material;Ursprungsland;Bildname
DK30010;"Bundjacke Industry300";Dickies;"Verdeckter Reißverschluss mit Klettfixierungen und zwei verdeckten Knöpfen (schützt Werkstücke vor Kratzern), Brusttasche, links, Doppelte Brusttasche rechts mit Fach für Mobiltelefon, Zwei Seitentaschen, links mit Schlüsselkarabiner innen, Dehnfalten im Rückenbereich, Mit Druckknopf verstellbare Ärmelbündchen, Aufhänger im Kragen, Mit je zwei Druckknöpfen verstellbarer Bund, Sturmleiste mit verdeckten Knöpfen, 42 verriegelte Belastungspunkte";"65% Polyester / 35% Baumwolle";Herren;Jacken;Langarm;;"Ohne Kapuze";Konventionell;;"300 g/m²";Polyestergemisch;IN;dk30010.jpg
DK30015;"Industry Warnschutz Bundjacke EN20471";Dickies;"EN ISO 20471:2013 Class 2, Orange - GO/RT 3279 Issue 8:2013, Durchgehende Windschutzpatte, Zwei Seitentaschen, Mobiltelefontasche, Dehnfalten im Rückenbereich, YKK Marken-Reißverschluss, Zusätzliche Verstärkung durch verriegelte Belastungspunkte, Weitenregulierbare Ärmelbündchen, Weitenregulierbare Taille";"65% Polyester / 35% Baumwolle";Herren;Jacken;;;;;;"245 g/m²";Polyestergemisch;PK;dk30015.jpg
DK30030;"Bundhose Industry300";Dickies;"Elastischer Bund, Breite Gürtelschlaufen, Eingriff mit Knopf und Reißverschluss, Schlüsselring mit Schlüsseltasche rechts, Zwei Seitentaschen zwei Gesäßtaschen mit Balg und Klettverschluss, Doppelte Zollstocktasche mit losem Ende rechts, Cargo- und Mobiltelefontasche rechts, Cargotasche mit Stiftfach links, Hammerschlaufe, Kniepolstertaschen, 60 verriegelte Belastungspunkte300 g/m²65% Polyester / 35% Baumwolle";"65% Polyester / 35% Baumwolle";Herren;Arbeitshosen;;Lang;;Konventionell;;"300 g/m²";Polyestergemisch;IN;dk30030.jpg
DK30035;"Industry Warnschutz Bundhose EN 20471";Dickies;"EN ISO 20471:2013 Klasse 2, Orange: GO/RT 3279:2013, Verdeckter Elastikbund, Hammerschlaufe, Kniepolstertaschen, Zwei Seitentaschen, Zwei Gesäßtaschen, Zwei Cargotaschen, Mobiltelefontasche, Zollstocktasche, YKK Markenreißverschluss, Zusätzliche Verstärkung durch verriegelte Belastungspunkte. Hinweis zu den verschiedenen Größen - Standardgrößen: 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64. Schlanke Größen: 90, 94, 98, 102, 106, 110. Untersetzte Größen: 24, 25, 26, 27, 28, 29.";"65% Polyester / 35% Baumwolle";Herren;Arbeitshosen;;;;;;"245 g/m²";Polyestergemisch;PK;dk30035.jpg
DK30040;"Latzhose Industry300";Dickies;"Solide Steckverschlüsse, Große Latztasche, Elastischer Bund mit zusätzlicher Bundweitenverstellung (Jeansknopf), Eingriff mit Reißverschluss, Schlüsselring mit Schlüsseltasche rechts, Zwei Seitentaschen zwei Gesäßtaschen mit Balg und Klettverschluss, Doppelte Zollstocktasche mit losem Ende rechts, Cargo- und Mobiltelefontasche rechts Cargotasche mit Stiftfach links, Hammerschlaufe links Kniepolstertaschen, 80 verriegelte Belastungspunkte";"65% Polyester / 35% Baumwolle";Herren;Arbeitshosen;;Lang;;Konventionell;;"300 g/m²";Polyestergemisch;IN;dk30040.jpg
DK30045;"Industry Warnschutz Latzhose EN20471";Dickies;"EN ISO 20471:2013 Klasse 2, Orange: GO/RT 3279:2013, Elastischer Bund im Rücken, Hammerschlaufe, Kniepolstertaschen, Zwei seitliche Taschen, Zwei Gesäßtaschen, Zwei Cargotaschen, Mobiltelefontasche, Weitenregulierbare Taille, Zollstocktasche, YKK Marken-Reißverschluss, Zusätzliche Verstärkung durch verriegelte Belastungspunkte. Hinweis zur Passform - Standardgrößen: 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64. Schlanke Größen: 90, 94, 98, 102, 106, 110 Untersetzte Größen: 24, 25, 26, 27, 28, 29";"65% Polyester / 35% Baumwolle";Herren;Arbeitshosen;;;;;;"245 g/m²";Polyestergemisch;PK;dk30045.jpg
DK3005;"Hooded Sweatshirt Hamilton";Dickies;Dickies-Markenbranding;"65% Polyester / 35% Baumwolle";Herren;Pullover;Langarm;;Rundhals;;;"280 g/m²";Polyestergemisch;PK;dk3005.jpg
DK30050;"Industry 300 Bermuda Shorts";Dickies;"Dreifach vernäht - Elastischer Bund - Zwei Seitentaschen - Zwei Gesäßtaschen mit Balg und Klettverschluss - Zwei Beintaschen, rechts mit Handy-Tasche - YKK Reißverschluss - Doppelte Zollstocktasche (rechts) - 50 verriegelte Belastungspunkte";"65% Polyester / 35% Baumwolle";Herren;Arbeitshosen;;Kurz;;;;"300 g/m²";Polyester;IN;dk30050.jpg
DK30051;"Eisenhower Max Bundhose";Dickies;"Cordura-Knieschonertaschen und Saumschutz - Holstertaschen - Reflexpaspeln - Knieschonertaschen (von oben verschließbar)";"65% Polyester / 35% Baumwolle";Herren;Arbeitshosen;;Lang;;;;"285 g/m²";Polyester;CN;dk30051.jpg
DK30060;"Winterjacket Industry300";Dickies;"Wasserdicht (3.000 mm), Verschweißte Nähte, Veredelungszugang im Rücken, Weicher Kragen mit Fleecefütterung innen, Kapuze mit Kordeln im Kragen eingerollt (fest verbunden mit der Jacke), Elastische Bündchen an Ärmeln und Saum, Ärmelbündchen mit Klettband justierbar, Reflexpaspeln, Zwei Seitentaschen mit Reißverschluss - mit dem robusten Außengewebe gefüttert, Dreifach-Brusttasche rechts, Innentasche rechts, Windschutzblende mit Druck- und Klettverschluss, Obermaterial: Oxford-Polyester 600D (230 g/m²), Futter: Polyester-Steppfutter (200 g/m² im Körperbereich, 160 g/m² in den Ärmeln)";"100% Polyester";Herren;Jacken;Langarm;;"Mit Kapuze";Konventionell;;;Polyester;CN;dk30060.jpg
DK30070;"Industry Piratenhose";Dickies;"Cargotaschen - An verschleißanfälligen Stellen dreifach genäht - Verriegelte Belastungspunkte";"65% Polyester / 35% Baumwolle";Herren;Arbeitshosen;;Kurz;;;;"300 g/m²";Polyester;IN;dk30070.jpg
DK30310;"Professional Safety Vest Orange";Dickies;"Zertifiziert nach EN471, Klasse 2, Zwei 5 cm breite Leuchtstreifen um den Körper, Je ein Leuchtstreifen auf jeder Schulter, Klettverschluss";"100% Polyester";Herren;Westen;Ärmellos;;;Konventionell;;"120 g/m²";Polyester;CN;dk30310.jpg
DK4001;"Industry 260 Latzhose";Dickies;"Elastischer Bund mit zusätzlicher Weitenjustierung durch Jeansknöpfe - Kniepolstertaschen - Reflektierende Paspeln für mehr Sicherheit und cooleren Look - Zwei Seitentaschen - Zwei Gesäßtaschen mit Patte und Klettverschluss, Zollstocktasche - Eine Beintasche rechts mit Mobiltelefontasche - Breite Träger mit robuster Schließe";"65% Polyester / 35% Baumwolle";Herren;Arbeitshosen;;Lang;;;;"260 g/m²";Polyester;CN;dk4001.jpg
DK42045;"GO/RT Parka Jacket";Dickies;"Zertifiziert nach EN343, Klasse 3 und GO/RT 3279: 2008, Winddicht, wasserdicht (5000mm) und atmungsaktiv, 300D mit PU-Beschichtung, Ein Reflexstreifen über jeder Schulter, Zwei 5-cm-Reflexstreifen um den Körper, Zwei 5-cm-Reflexstreifen um jeden Ärmel, Versteckte, mit Druckknöpfen abnehmbare Kapuze, Zwei-Wege-Reißverschluss, Verschweißte Nähte, Rückseitiger Veredelungszugang";"100% Polyester";Herren;Jacken;Langarm;;"Abnehmbare Kapuze";Konventionell;;;Polyester;CN;dk42045.jpg
DK42075;"Workwear Safety-Polo";Dickies;"Zertifiziert nach EN471, Klasse 2 und GO/RT 3279:2004, Robuste Verarbeitung, Je ein Leuchtstreifen auf jeder Schulter, Zwei 5 cm breite Leuchtstreifen um den Körper, Gerippter Polokragen mit 3-Knopf-Leiste, Geripptes Bündchen am Ärmel";"100% Polyester";Herren;Poloshirts;Kurzarm;;Knopfleiste;Konventionell;;"170 g/m²";Polyester;CN;dk42075.jpg
DK66;"Kneepad (1 Paar)";Dickies;"Leicht und bequem, Flexible gepolsterte Knieschoner, Passend für die Dickies Workwear Hosen, Vinylazetat-Copolymer mit zwei unterschiedlichen Härtegraden, EN14404";Vinylazetat-Copolymer;;Arbeitshosen;;;;;;;;;dk66.jpg
DK7001;"Industry 260 Bundjacke";Dickies;"Zwei Seitentaschen - Eine Brusttasche mit Patte, darunter eine praktische Reißverschluss-Tasche - Bundweite mittels Klettpatten individuell justierbar - Reflektierende Paspeln für mehr Sicherheit und cooleren Look - Ärmelbündchen mittels Klettpatten verstellbar - Robuster Nylon-Reißverschluss mit Sturmklappe";"65% Polyester / 35% Baumwolle";Herren;Jacken;Langarm;;;;;"260 g/m²";Polyester;CN;dk7001.jpg
DK7010;"Two Tone Softshell-Jacket";Dickies;"Gewebe wasserdicht bis 8.000 mm und atmungsaktiv bis 1.000 g/m²/24h - Reflexpaspeln - Vorderseite mit Reißverschluss - Ärmelbündchen justierbar - Bundweite justierbar";"94% Polyester / 6% Elasthan";Herren;Jacken;Langarm;;;;;"200 g/m²";Polyester;CN;dk7010.jpg
DK7011;"Two Tone Micro Fleece Zip";Dickies;"Wärmendes Microfleece-Gewebe - Ärmelabschluss mit Daumenloch - Leichtes Fleecegewebe - Anliegender Schnitt ideal für Lagenlook";"100% Polyester";Herren;Jacken;Langarm;;;;;"260 g/m²";Polyester;CN;dk7011.jpg
DK89000;"Fleece Pullover";Dickies;"Obermaterial Antipilling-Fleece - 1/4-YKK-Kunststoff-Reißverschluss - Strick-Bündchen an den Ärmeln - Seitliche Handwärmer-Taschen - Kontrast-Einsätze an den Ärmeln aus Nylon-Taslan";"100% Polyester";Herren;Pullover;Langarm;;1/4-Reißverschluss;Konventionell;;"540 g/m²";Polyester;CN;dk89000.jpg
DK9508;"Gironde S3 Halbschuh";Dickies;"EN ISO 20345:2011 S3 SRC - Zehen-Schutzkappe aus Verbundstoff entsprechend EN20345 (200 Joule) - Nichtmetallische, durchtrittsichere Zwischensohle - Zunge und Schaft gepolstert - Wasserfestes Oberteil - Obermaterial: Nubukleder, Nylon Mesh - Futter: Mesh (Nylon) - Sohle: Leichte EVA/Gummisohle / EVA";"Futter: 100% Nylon";;Schuhe;;;;;;;Polyester;CN;dk9508.jpg
DK9513;"Faxon Sicherheitsturnschuh";Dickies;"Gummibeschichtete Zehen-Schutzkappe aus Verbundstoff entsprechend EN20345 (200 Joule) - Oberseite: Nubuk Leder - Nichtmetallische, durchtrittsichere Zwischensohle - Futter: Atmungsaktives Mesh-Futter (Nylon) - Sohle: Leichte Gummisohle - Hitzebeständig bis 300 °C";"Futter: 100% Nylon";;Schuhe;;;;;;;Polyester;CN;dk9513.jpg
DK9516;"Gironde Sicherheitsstiefel";Dickies;"EN ISO 20345: 2011 S3 SRC - Zehen-Schutzkappe aus Verbundstoff entsprechend EN20345 (200 Joule) - Nichtmetallische, durchtrittsichere Zwischensohle - Oberseite: Nubuk Leder und Nylon Mesh, wasserabweisend - Futter: Atmungsaktives Mesh-Futter (Nylon) - Sohle: Leichte EVA/Gummisohle";"Futter: 100% Nylon";;Schuhe;;;;;;;Polyester;CN;dk9516.jpg
DK9520;"Sicherheitsschuh Ector S1-P";Dickies;"Zehenschutzkappe aus Verbundstoff entsprechend EN ISO 20345 (200 Joule), Nichtmetallische. durchtrittsichere Zwischensohle, Atmungsaktives Innenfutter, Leicht wattiert, Polyurethansohle mit zwei unterschiedlichen Härtegraden, Herausnehmbares EVA-Fußbett, Antistatisch, Ölbeständige Sohle";;Herren;Schuhe;;;;;;;;CN;dk9520.jpg
DK9521;"Sicherheitsschuh Anvik S1-P";Dickies;"Zehenschutzkappe aus Verbundstoff entsprechend EN ISO 20345 (200 Joule), Nichtmetallische. durchtrittsichere Zwischensohle, Atmungsaktives Innenfutter, Leicht wattiert, Polyurethansohle mit zwei unterschiedlichen Härtegraden, Herausnehmbares EVA-Fußbett, Antistatisch, Ölbeständige Sohle";;Herren;Schuhe;;;;;;;;CN;dk9521.jpg
DY650VRX;"Classic Vintage T-Shirts";Dyenomite;"Vintage-Look und Feeling, klassisches Musik T-Shirts, Super soft gekämmtes. ringgesponnenes 50/50 T-Shirts, T-Shirts mit Burn-out-Wash für extra weiches Feeling und Komfort";;Herren;T-Shirts;Kurzarm;;Rundhals;;;;Baumwollgemisch;MX;dy650vrx.jpg
DY700BE;"Bullseyes T-Shirt";Dyenomite;"Batik-gefärbtes T-Shirt, Handgefärbt in den USA, Vorgeschrumpft, Große Fläche zur Veredelung, Doppelnahtverarbeitung an Kragen und Saum, Reaktiv gefärbt, Rundum gefärbt, Jedes Batik-Shirt ist individuell in der Farbgebung";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy700be.jpg
DY700CY;"Cyclone T-Shirt";Dyenomite;"Batik-gefärbtes T-Shirt in  Wirbelwind Optik, Aufregend, um Blicke an sich zu ziehen, Vorgeschrumpft, Doppelnahtverarbeitung an Kragen und Saum, Reaktiv gefärbt, Durchgehendes Schulterband, Jedes Batik-Shirt ist individuell in der Farbgebung";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy700cy.jpg
DY700FU;"Fusions T-Shirt";Dyenomite;"Batik-gefärbtes T-Shirt, Senkrecht laufendes Batikmuster, welches von Shirt zu Shirt unterschiedlich ausfallen kann, Vorgeschrumpft, Doppelnahtverarbeitung an Kragen und Saum, Reaktiv gefärbt , Jedes Batik-Shirt ist individuell in der Farbgebung";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy700fu.jpg
DY700MS;"Multi-Color Spirals T-Shirt";Dyenomite;"Klassisches Batik-Spiralmuster in aufregenden modernen Farbkombinationen, Vorgeschrumpft, Doppelnahtverarbeitung an Kragen und Saum, Alle Farben außer Neon sind reaktiv gefärbt, Neon ist pigmentgefärbt, Durchgehendes Schulterband, Jedes Batik-Shirt ist individuell in der Farbgebung";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy700ms.jpg
DY700PG;"Pigment Dyed T-Shirt";Dyenomite;"Pigmentgefärbtes T-Shirt, Angenehm weiches Tragegefühl, Vorgeschrumpft, Doppelnahtverarbeitung an Kragen und Saum, Durchgehendes Schulterband";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy700pg.jpg
DY700TY;"Typhoons T-Shirts";Dyenomite;"Ein Sturm von Style. den man nicht versäumen darf, Diese tropen-inspirierten Batikmuster mit ihren kraftvollen Farben werden sicher Aufsehen erregen,sanforisiert. 100% Baumwolle. 5.3 oz.., Doppelnaht im Nacken und Saum, Mit Reaktivfarbstoffen gefärbt";;Herren;T-Shirts;Kurzarm;;Rundhals;;;;Baumwolle;HN;dy700ty.jpg
DY700WA;"Waves T-Shirts";Dyenomite;"Sanforisiert. 100% Baumwolle. 5.3 oz., Doppelnaht im Nacken und Saum";;Herren;T-Shirts;Kurzarm;;Rundhals;;;;Baumwolle;HN;dy700wa.jpg
DY70BBE;"Bullseyes - Youth T-Shirt";Dyenomite;"Batik-gefärbtes T-Shirt, Handgefärbt in den USA, Vorgeschrumpft, Große Fläche zur Veredelung, Doppelnahtverarbeitung an Kragen und Saum, Reaktiv gefärbt, Rundum gefärbt, Jedes Batik-Shirt ist individuell in der Farbgebung";"100% Baumwolle";Kinder;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy70bbe.jpg
DY70BCY;"Cyclone - Youth T-Shirt";Dyenomite;"Batik-gefärbtes T-Shirt in Wirbelwind Optik, Aufregend um Blicke an sich zu ziehen und gleichzeitig einfach um genügend Werbefläche zu erhalten, Vorgeschrumpft, Doppelnahtverarbeitung an Kragen und Saum, Reaktiv gefärbt, Durchgehendes Schulterband, Jedes Batik-Shirt ist individuell in der Farbgebung";"100% Baumwolle";Kinder;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy70bcy.jpg
DY70BMS;"Multi-Color Spirals - Youth T-Shirt";Dyenomite;"Klassisches Batik-Spiralmuster in aufregenden modernen Farbkombinationen, Vorgeschrumpft, Doppelnahtverarbeitung an Kragen und Saum, Alle Farben außer Neon sind reaktiv gefärbt, Neon ist pigmentgefärbt, Durchgehendes Schulterband, Jedes Batik-Shirt ist individuell in der Farbgebung";"100% Baumwolle";Kinder;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy70bms.jpg
DY750CPG;"Cold Water Pigment Dyed T-Shirt";Dyenomite;"Batik-gefärbtes T-Shirt, Doppelnahtverarbeitung an Kragen und Saum, Handgefärbt in den USA, Vorgeschrumpft, Jedes Batik-Shirt ist individuell in der Farbgebung, Durchgehendes Schulterband";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;;;"180 g/m²";Baumwolle;HN;dy750cpg.jpg
DY7870VR;Beanie;Dyenomite;"Maße: 30 x 48 cm (Länge x Breite)";;;"Mützen ";;;;;;;Baumwollgemisch;CN;dy7870vr.jpg
E100;"Kid´s Basic-T";Promodoro;"Doppelnaht-Verarbeitung am Kragen und allen Säumen, Kragen mit Elasthan, Nackenband, Single Jersey, Schlauchwaren-Ausführung";"100% Baumwolle";Kinder;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"150 g/m²";Baumwolle;EG;e100.jpg
E1000;Basic-T;Promodoro;"Doppelnahtverarbeitung am Kragen und allen Säumen, Nackenband, Kragen mit Elasthan, Single Jersey, Ringgesponnene Baumwolle, Schlauchwarenausführung";"100% Baumwolle (Sports Grey: 85% Baumwolle / 15% Viskose)";Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"150 g/m²";Baumwolle;EG;e1000.jpg
E1025;"Basic V-Neck-T";Promodoro;"Schlauchwarenausführung, Kragen mit Elasthan, Nackenband, Doppelnahtverarbeitung am Kragen und allen Säumen, Single Jersey, Ringgesponnene Baumwolle";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;"150 g/m²";Baumwolle;EG;e1025.jpg
E1031;"Women´s Tube Top";Promodoro;"Trägerloses Top, Bustiereinsatz für eine perfekte Passform, Single Jersey";"95% Baumwolle / 5% Elasthan";Damen;T-Shirts;Ärmellos;;Schulterfrei;Konventionell;;"210 g/m²";Baumwolle;CN;e1031.jpg
E1037;"Women´s V-Neckholder Top";Promodoro;"Single Jersey, V-Top zum Binden im Nacken";"95% Baumwolle / 5% Elasthan";Damen;T-Shirts;Ärmellos;;V-Ausschnitt;Konventionell;;"180 g/m²";Baumwollgemisch;BD;e1037.jpg
E1050;"Men´s Athletic-T";Promodoro;"Eingefasster Hals- und Ärmelausschnitt, Doppelnaht am Saum, Single Jersey";"100% Baumwolle";Herren;T-Shirts;Ärmellos;;Rundhals;Konventionell;;"150 g/m²";Baumwolle;EG;e1050.jpg
E1051;"Womens Tank Top";Promodoro;"Figurbetont - Single Jersey - Neutrales Größenetikett";"95% Baumwolle / 5% Elasthan";Damen;T-Shirts;Ärmellos;;Boat-Neck;;;"180 g/m²";Baumwollgemisch;EG;e1051.jpg
E1060;"Men´s Raglan T";Promodoro;"rmel und Krageneinfassung in Kontrastfarbe, Single Jersey, Viertelarm Raglan Shirt";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"180 g/m²";Baumwolle;EG;e1060.jpg
E110B;Baby-T-Shirt;Promodoro;"Seitennähte, Single-Jersey, Shirt mit Schulteröffnung, Gekämmte Baumwolle";"100% Baumwolle";Babies;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"150 g/m²";Baumwolle;EG;e110b.jpg
E120K;"Organic Baby Bodysuit";Promodoro;"Baby Strampler, Überlappende Schulterpartie für besonders leichtes An- und Ausziehen, Druckknöpfe im Schritt, Ripp, Organische Baumwolle";"100% Baumwolle";Babies;"Bodies & Schlafanzüge";Kurzarm;;Rundhals;Umweltfreundlich;;"200 g/m²";Baumwolle;EG;e120k.jpg
E1250;"Women´s Lace Top";Promodoro;"Spitzenbordüre, Figurbetont, Single Jersey, Verstellbare Spaghettiträger";"92% Baumwolle / 8% Elasthan";Damen;T-Shirts;Spaghetti-Träger;;V-Ausschnitt;Konventionell;;"190 g/m²";Baumwollgemisch;CN;e1250.jpg
E160;"Kid´s Raglan-T";Promodoro;"Single Jersey, Ringgesponnene Baumwolle, Ärmel und Krageneinfassung in Kontrastfarbe";"100% Baumwolle";Kinder;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"180 g/m²";Baumwolle;EG;e160.jpg
E195;"Kid´s-T Longsleeve";Promodoro;"Weich und dehnbar, Eng anliegend, Interlock, Kragen eingefasst";"100% Baumwolle";Kinder;T-Shirts;Langarm;;Rundhals;Konventionell;;"220 g/m²";Baumwolle;EG;e195.jpg
E2049;"Polo Sweater";Promodoro;"Sweatshirt mit Polokragen, Elasthan-Bündchen an Ärmeln und Saum, Molton brushed, Nackenband, Knopfleiste mit drei Knöpfen, Ringgesponnene Baumwolle";"100% Baumwolle (Sports Grey: 85% Baumwolle / 15% Viskose)";Herren;Poloshirts;Langarm;;Knopfleiste;Konventionell;;"320 g/m²";Baumwolle;EG;e2049.jpg
E2075;"Women´s Sweater Turtleneck";Promodoro;"Elasthan-Bündchen an Arm und Saum, Kängurutasche, Molton brushed, Rollkragen mit Kordelzug, Schmale Form";"80% Baumwolle / 20% Polyester";Damen;Pullover;Langarm;;Rollkragen;Konventionell;;"280 g/m²";Baumwollgemisch;CN;e2075.jpg
E2080;"Men´s Hoody";Promodoro;"Kängurutasche, Elasthan-Bündchen an Ärmeln und Saum, Molton brushed, Einfachkapuze";"100% Baumwolle";Herren;Pullover;Langarm;;"Mit Kapuze";Konventionell;;"320 g/m²";Baumwolle;EG;e2080.jpg
E2111;"Men´s Heather Hoody 60/40";Promodoro;"Kasak-Sweatshirt mit hohen, überkreuzten Kragen und Doppel-Kapuze, Figurbetont, Molton brushed, Neutrales Größenetikett im Nacken";"60% Baumwolle / 40% Polyester";Herren;Pullover;Langarm;;"Mit Kapuze";;;"250 g/m²";Baumwollgemisch;EG;e2111.jpg
E2112;"Women´s Heather Hoody 60/40";Promodoro;"Kasak-Sweatshirt mit einem hohen überkreuzter Kragen und Doppel-Kapuze, Figurbetont, Molton brushed, Neutrales Größenetikett im Nacken";"60% Baumwolle / 40% Polyester";Damen;Pullover;Langarm;;"Mit Kapuze";;;"250 g/m²";Baumwollgemisch;EG;e2112.jpg
E2180;"Men´s Hoody 80/20";Promodoro;"Kängurutasche, Doppellagige Kapuze mit Kordel, Elasthan-Bündchen an Ärmeln und Saum, Molton brushed";"80% Baumwolle / 20% Polyester (Sports Grey: 85% Baumwolle / 15% Viskose)";Herren;Pullover;Langarm;;"Mit Kapuze";Konventionell;;"280 g/m²";Baumwollgemisch;EG;e2180.jpg
E2181;"Women´s Hoody 80/20";Promodoro;"Kängurutasche, Doppelkapuze mit Kordel, Elasthan-Bündchen an Ärmeln und Saum, Figurbetont, Molton brushed";"80% Baumwolle / 20% Polyester";Damen;Pullover;Langarm;;"Mit Kapuze";Konventionell;;"280 g/m²";Baumwollgemisch;CN;e2181.jpg
E2190;"Men´s Hoody 80/20 Heavy";Promodoro;"Kängurutasche, Elasthan-Bündchen an Arm und Saum, Molton brushed, Doppellagige Kapuze";"80% Baumwolle / 20% Polyester";Herren;Pullover;Langarm;;"Mit Kapuze";Konventionell;;"320 g/m²";Baumwollgemisch;EG;e2190.jpg
E2199;"Men´s Sweater 80/20";Promodoro;"Elasthan-Bündchen an Ärmeln und Saum, Molton brushed, 80% gekämmte Baumwolle / 20% Polyester (Sports Grey: 85% gekämmte Baumwolle / 15% Viskose)";"80% Baumwolle / 20% Polyester (Sports Grey: 85% Baumwolle / 15% Viskose)";Herren;Pullover;Langarm;;Rundhals;Konventionell;;"280 g/m²";Baumwollgemisch;CN;e2199.jpg
E2899;"Unisex Interlock Sweater 50/50";Promodoro;"Unisex Sweatshirt, Halbmond im Nacken, Elasthanbündchen an Arm und Saum, Neutrales Grössenetikett, Interlock, 50% gekämmte Baumwolle / 50% Polyester";"50% Baumwolle / 50% Polyester";Herren;Pullover;;;Rundhals;;;"320 g/m²";Baumwollgemisch;EG;e2899.jpg
E3000;"Men´s Premium-T";Promodoro;"Doppelnahtverarbeitung am Kragen und allen Säumen, Nackenband, Kragen mit Elasthan, Single-Jersey, Ringgesponnene. gekämmte Baumwolle, Schlauchwarenausführung, PremiumT";"100% Baumwolle (Sports Grey: 85% Baumwolle / 15% Viskose)";Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"180 g/m²";Baumwolle;BD;e3000.jpg
E3005;"Women´s Premium-T";Promodoro;"Leicht tailliert, Single-Jersey, Seitennähte, Gekämmte Baumwolle, PremiumT";"100% Baumwolle";Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"180 g/m²";Baumwolle;BD;e3005.jpg
E3011;"Men´s Fashion Organic-T";Promodoro;"100% zertifizierte Bio-Baumwolle, Single Jersey, Neutrales Größenetikett im Nacken, Modisch optimierte Passform";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;Umweltfreundlich;;"180 g/m²";Baumwolle;EG;e3011.jpg
E3012;"Women´s Fashion Organic-T";Promodoro;"zertifizierte; gekämmte Bio-Baumwolle, schmale Set-in-Ärmel (Naht an der Schulter), taillierter; langer Schnitt, etwas breiterer Rundhals-Ausschnitt, Schlauchware (keine Seitennähte), Midweight / mittelschwerer Stoff, waschbar bis 60°C
";"100% Bio-Baumwolle";Damen;T-Shirts;Kurzarm;;Rundhals;Umweltfreundlich;;"180 g/m²";Bio-Baumwolle;EG;e3012.jpg
E3025;"Premium V-Neck-T";Promodoro;"Doppelnahtverarbeitung am Kragen und allen Säumen, Nackenband, Schlauchwarenausführung, Kragen mit Elasthan, Single Jersey, Ringgesponnene Baumwolle";"100% Baumwolle (Sports Grey: 85% Baumwolle / 15% Viskose)";Herren;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;"180 g/m²";Baumwolle;BD;e3025.jpg
E3051;"Women´s Rib V-Neck-T";Promodoro;"berlappender V-Ausschnitt, Heavy Rib";"100% Baumwolle";Damen;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;"245 g/m²";Baumwolle;BD;e3051.jpg
E3070;"Men´s Contrast-T";Promodoro;"Farbig abgesetzte Bündchen an Hals und Ärmeln, Single Jersey";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"180 g/m²";Baumwolle;EG;e3070.jpg
E3081;"Men´s Slim Fit-T";Promodoro;"Figurbetont, Single Jersey";"95% Baumwolle / 5% Elasthan";Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"180 g/m²";Baumwollgemisch;BD;e3081.jpg
E3082;"Men´s Slim Fit V-Neck-T";Promodoro;"V-Ausschnitt, Figurbetont, Single Jersey";"95% Baumwolle / 5% Elasthan";Herren;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;"180 g/m²";Baumwollgemisch;BD;e3082.jpg
E3085;"Women´s Slim Fit-T";Promodoro;"Figurbetont, Single-Jersey, 95% gekämmte Baumwolle / 5% Elasthan (Sports Grey: 81% gekämmte Baumwolle / 14% Viskose / 5% Elasthan)";"95% Baumwolle / 5% Elasthan";Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"180 g/m²";Baumwollgemisch;BD;e3085.jpg
